dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
76,"00:07:05,224 --> 00:07:07,347
","And so would any woman
in her right mind.

",0.170431,0.343203,0.111481,0.048291,0.418334,0.85315,0.078468,0.938127,0.78611,0.022173,0.0,0.983475,0.0
77,"00:07:07,417 --> 00:07:09,942
","Women are very practical,
even Ingrid Bergman,

",0.416374,0.196587,0.071615,0.090729,0.296308,0.516143,0.120982,0.572925,0.461403,0.014678,0.0,0.0,0.0
78,"00:07:10,020 --> 00:07:13,750
","which is why she gets on the plane
at the end of the movie.

",0.474956,0.276292,0.207753,0.050401,0.069501,0.795577,0.16055,0.278174,0.266396,0.638314,0.0,0.0,0.0
79,"00:07:16,864 --> 00:07:18,253
","I understand.

",0.301861,0.497012,0.068174,0.128278,0.102956,0.217922,0.271752,0.594856,0.492908,0.099777,0.982476,0.0,0.0
80,"00:07:19,062 --> 00:07:20,723
","What? What?

",0.185201,0.385107,0.131484,0.19567,0.209341,0.270333,0.275881,0.600433,0.540803,0.351793,0.0,0.0,0.0
81,"00:07:20,805 --> 00:07:22,773
","- Nothing.
- What?

",0.239664,0.331785,0.1145,0.296803,0.132757,0.154404,0.136345,0.608834,0.403421,0.216865,0.0,0.0,0.0
82,"00:07:23,015 --> 00:07:24,778
","Forget about it.

",0.454499,0.292666,0.081888,0.046925,0.211984,0.232786,0.339885,0.636736,0.474739,0.502984,0.955445,0.946222,0.0
83,"00:07:25,021 --> 00:07:26,442
","- Forget about what?
- It's not important.

",0.551385,0.22096,0.067805,0.098301,0.174186,0.133638,0.157176,0.576316,0.251196,0.185991,0.952933,0.966403,0.0
84,"00:07:26,633 --> 00:07:28,399
","No, just tell me.

",0.360561,0.100204,0.03745,0.532161,0.052517,0.309451,0.315824,0.590656,0.565504,0.161337,0.0,0.984352,0.0
85,"00:07:29,341 --> 00:07:32,010
","Obviously you haven't had great sex yet.

",0.653643,0.058933,0.08224,0.134934,0.107981,0.223006,0.277932,0.843231,0.504136,0.402049,0.560098,0.0,0.92125
86,"00:07:32,275 --> 00:07:34,607
","- Two, please.
- Right over there.

",0.29303,0.172005,0.224849,0.145989,0.267694,0.699849,0.262356,0.818342,0.708465,0.065783,0.0,0.0,0.0
87,"00:07:34,780 --> 00:07:36,703
","- Yes, I have.
- No, you haven't.

",0.674242,0.126056,0.164181,0.079,0.054231,0.009961,0.210652,0.654838,0.123418,0.264804,0.0,0.0,0.0
88,"00:07:36,914 --> 00:07:40,850
","It just so happens that I have had
plenty of good sex.

",0.216589,0.7073,0.052625,0.032243,0.073568,0.565942,0.382783,0.914603,0.062851,0.424902,0.0,0.966403,0.0
89,"00:07:59,069 --> 00:08:00,564
","With whom?

",0.159837,0.549063,0.142311,0.099134,0.14346,0.532699,0.274922,0.600278,0.545517,0.337623,0.0,0.0,0.0
90,"00:08:01,438 --> 00:08:02,332
","What?

",0.0,0.0,0.0,0.0,0.0,0.270333,0.275881,0.600433,0.540803,0.351793,0.0,0.0,0.0
91,"00:08:02,659 --> 00:08:04,991
","With whom did you have
this great sex?

",0.083929,0.655002,0.114117,0.04328,0.200331,0.833488,0.603523,0.962675,0.936875,0.931388,0.0,0.0,0.0
92,"00:08:05,278 --> 00:08:07,309
","I'm not gonna tell you that.

",0.565689,0.04138,0.209662,0.214866,0.094146,0.459246,0.562572,0.693338,0.392314,0.347266,0.0,0.556444,0.0
93,"00:08:07,670 --> 00:08:09,262
","Fine. Don't tell me.

",0.423574,0.133097,0.225796,0.233086,0.104465,0.321804,0.150115,0.5971,0.442382,0.078562,0.0,0.0,0.0
94,"00:08:14,797 --> 00:08:16,230
","Shel Gordon.

",0.24695,0.517207,0.109956,0.098129,0.064846,0.339313,0.274494,0.599752,0.544899,0.311978,0.0,0.0,0.0
95,"00:08:16,787 --> 00:08:18,482
","Shel? Sheldon?

",0.298756,0.414247,0.125109,0.131217,0.089107,0.330428,0.274436,0.599591,0.544739,0.287248,0.0,0.0,0.0
96,"00:08:18,673 --> 00:08:22,082
","No. No, you did not have
great sex with Sheldon.

",0.397108,0.155456,0.096946,0.175439,0.215632,0.258386,0.26632,0.768015,0.896435,0.857617,0.0,0.0,0.0
97,"00:08:22,150 --> 00:08:24,456
","- I did too.
- No, you didn't.

",0.407843,0.356874,0.082565,0.199773,0.038443,0.00075,0.200549,0.635197,0.127834,0.528527,0.0,0.0,0.0
98,"00:08:25,090 --> 00:08:27,156
","Sheldon can do your income taxes.

",0.261803,0.45813,0.062432,0.078746,0.217606,0.055996,0.290076,0.580304,0.598814,0.780937,0.0,0.0,0.0
99,"00:08:27,230 --> 00:08:29,601
","If you need a root canal,
Sheldon's your man.

",0.19692,0.318291,0.164828,0.181233,0.239169,0.291527,0.054777,0.262036,0.595149,0.761746,0.883404,0.0,0.0
100,"00:08:29,681 --> 00:08:31,997
","But humping and pumping
is not Sheldon's strong suit.

",0.30415,0.668163,0.034035,0.032231,0.028455,0.653665,0.030931,0.228519,0.745704,0.003101,0.0,0.0,0.0
101,"00:08:32,044 --> 00:08:33,961
","It's the name.
""Do it to me, Sheldon.

",0.197367,0.398151,0.150794,0.277531,0.069621,0.296245,0.145994,0.563263,0.375003,0.481348,0.0,0.0,0.0
102,"00:08:34,037 --> 00:08:35,501
","You're an animal, Sheldon.

",0.28435,0.261515,0.02775,0.15659,0.353249,0.535689,0.249081,0.610965,0.578882,0.086558,0.0,0.0,0.0
103,"00:08:35,527 --> 00:08:37,589
","Ride me, big Sheldon.""

",0.166228,0.463775,0.302562,0.100944,0.031877,0.347017,0.273306,0.607091,0.596102,0.269159,0.0,0.0,0.0
104,"00:08:38,044 --> 00:08:39,191
","It doesn't work.

",0.519982,0.283703,0.073311,0.193498,0.012532,0.012275,0.276989,0.558907,0.359263,0.29237,0.0,0.0,0.0
105,"00:08:39,277 --> 00:08:40,039
","Hi.

",0.0,0.0,0.0,0.0,0.0,0.290157,0.274434,0.599483,0.543325,0.291201,0.0,0.0,0.0
106,"00:08:40,777 --> 00:08:43,268
","- What can I get you?
- I'll have a number 3.

",0.403207,0.258037,0.170768,0.181738,0.058738,0.165065,0.409524,0.851913,0.192928,0.712139,0.0,0.0,0.0
107,"00:08:44,481 --> 00:08:47,041
","I'd like the chef's salad, please,
with the oil and vinegar on the side,

",0.276919,0.177272,0.377277,0.035585,0.244671,0.908618,0.270389,0.275762,0.850759,0.804276,0.0,0.827288,0.0
108,"00:08:47,132 --> 00:08:48,622
","and the apple pie ?la mode.

",0.069782,0.615213,0.08012,0.137658,0.152124,0.489334,0.323352,0.532074,0.526864,0.466671,0.0,0.0,0.0
109,"00:08:48,946 --> 00:08:52,151
","Chef and apple ?la mode.

",0.08378,0.690328,0.075868,0.124442,0.100607,0.314679,0.137029,0.596888,0.453113,0.22831,0.0,0.0,0.0
110,"00:08:52,199 --> 00:08:55,912
","But I'd like the pie heated, and I dont' want
 the ice cream on top, I want it on the side.

",0.450192,0.168597,0.093001,0.228519,0.111813,0.697858,0.358904,0.147906,0.149236,0.499525,0.0,0.698156,0.0
111,"00:08:55,951 --> 00:08:58,278
","And I'd like strawberry instead of vanilla,
if you have it.

",0.199191,0.399522,0.144283,0.165788,0.190807,0.946255,0.49143,0.688046,0.392975,0.656526,0.924432,0.884138,0.0
112,"00:08:58,304 --> 00:09:00,871
","If not, then no ice cream,
just whipped cream, but only if it's real.

",0.655068,0.083167,0.095985,0.129372,0.083388,0.469087,0.226802,0.531874,0.270222,0.42925,0.89196,0.907813,0.0
113,"00:09:00,912 --> 00:09:02,416
","If it's out of a can, then nothing.

",0.337284,0.058712,0.248556,0.28383,0.196814,0.86029,0.708266,0.356355,0.000357,0.527096,0.868982,0.0,0.0
114,"00:09:02,731 --> 00:09:03,720
","Not even the pie?

",0.251089,0.111878,0.040904,0.299375,0.393274,0.320964,0.281022,0.405367,0.318788,0.39539,0.0,0.984352,0.0
115,"00:09:03,885 --> 00:09:06,426
","No, just the pie,
but then not heated.

",0.371439,0.177658,0.052506,0.401052,0.076326,0.516765,0.24903,0.295068,0.051784,0.497082,0.694442,0.987926,0.0
116,"00:09:07,210 --> 00:09:07,957
","Uh huh.

",0.553562,0.06439,0.1326,0.293736,0.02734,0.266064,0.274455,0.599467,0.543052,0.304615,0.0,0.0,0.0
117,"00:09:13,240 --> 00:09:14,000
","What?

",0.0,0.0,0.0,0.0,0.0,0.270333,0.275881,0.600433,0.540803,0.351793,0.0,0.0,0.0
118,"00:09:14,477 --> 00:09:16,342
","Nothing, nothing.

",0.298102,0.475512,0.111293,0.094092,0.087274,0.266226,0.27451,0.599504,0.540788,0.271112,0.0,0.0,0.0
119,"00:09:18,211 --> 00:09:19,983
","So how come you broke
up with Sheldon?

",0.799414,0.106617,0.038573,0.066402,0.049022,0.00767,0.266777,0.872988,0.964759,0.15368,0.0,0.0,0.0
120,"00:09:20,157 --> 00:09:21,571
","How do you know we broke up?

",0.688198,0.031468,0.191188,0.171643,0.017523,0.005778,0.666323,0.541758,0.532678,0.719986,0.801827,0.0,0.0
121,"00:09:21,690 --> 00:09:24,021
","Because if you didn't break up,
you wouldn't be here with me.

",0.58983,0.117604,0.121149,0.214917,0.07453,0.084164,0.842468,0.864567,0.839205,0.289825,0.98445,0.0,0.0
122,"00:09:24,087 --> 00:09:26,248
","You'd be off with Sheldon,
the Wonder Schlong.

",0.203202,0.356331,0.204667,0.100513,0.228345,0.462167,0.043462,0.809362,0.95241,0.35651,0.0,0.987926,0.0
123,"00:09:27,473 --> 00:09:30,406
","First of all, I am not ""with"" you.

",0.259642,0.428236,0.208051,0.058931,0.123246,0.867925,0.902533,0.72472,0.338126,0.410963,0.982476,0.0,0.0
124,"00:09:30,639 --> 00:09:33,889
","And second of all, it is none
of your business why we broke up.

",0.68951,0.045955,0.195344,0.152376,0.020463,0.773598,0.68395,0.225741,0.724734,0.536778,0.0,0.0,0.962182
