dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
85,"00:07:11,890 --> 00:07:16,937
","<i>Had to be you, wonderful you
Had to be you</i>

",0.341222,0.520814,0.065315,0.077839,0.023193,0.272756,0.447709,0.950228,0.504015,0.694162,0.0,0.0,0.99091
86,"00:07:17,396 --> 00:07:18,856
","[SINGING ""SHINE""]

",0.106917,0.826002,0.024856,0.068882,0.021873,0.278982,0.274426,0.599479,0.543481,0.284468,0.0,0.0,0.0
87,"00:07:19,022 --> 00:07:21,483
","'Cause my hair is curly

",0.174562,0.241462,0.459134,0.150227,0.046158,0.456996,0.27109,0.603836,0.567585,0.161556,0.882284,0.0,0.0
88,"00:07:22,109 --> 00:07:25,195
","<i>'Cause my teeth are pearly</i>

",0.254024,0.082771,0.220094,0.424224,0.103391,0.228139,0.151547,0.373159,0.158487,0.002572,0.801827,0.0,0.0
89,"00:07:25,362 --> 00:07:27,489
","Waiting, waiting, waiting.

",0.078019,0.368957,0.189627,0.338693,0.079839,0.25101,0.274436,0.599483,0.543276,0.282188,0.0,0.0,0.0
90,"00:07:27,698 --> 00:07:29,700
","I'll never get out of here.

",0.670352,0.114978,0.167053,0.054653,0.076334,0.520943,0.694743,0.84896,0.165901,0.1944,0.0,0.0,0.80026
91,"00:07:30,033 --> 00:07:31,910
","I'll die in Casablanca.

",0.935248,0.01264,0.070567,0.035047,0.027955,0.332124,0.272941,0.600162,0.537427,0.255827,0.0,0.0,0.0
92,"00:07:32,119 --> 00:07:34,329
","But can't you make it
just a little more?

",0.584237,0.245194,0.11075,0.095975,0.028543,0.091624,0.099727,0.800041,0.057421,0.04831,0.0,0.920133,0.0
93,"00:07:34,496 --> 00:07:35,539
","Please?

",0.0,0.9,0.0,0.0,0.0,0.30735,0.274437,0.599488,0.543384,0.291211,0.0,0.0,0.0
94,"00:07:35,706 --> 00:07:39,126
","Sorry, but diamonds are a drug on
the market. Everybody sells diamonds.

",0.695293,0.164593,0.020487,0.117022,0.053511,0.92637,0.176961,0.307786,0.842938,0.814632,0.0,0.0,0.0
