dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
52,"00:05:37,712 --> 00:05:41,548
","Who came back because Irene threatened
to put the dog to sleep if he didn't.

",0.160924,0.096052,0.509823,0.121147,0.203333,0.011058,0.123973,0.444273,0.020606,0.258174,0.920556,0.0,0.0
53,"00:05:41,716 --> 00:05:46,553
","Your brother Dennis is
professor at Johns Hopkins.

",0.122522,0.446784,0.20045,0.156306,0.138145,0.306889,0.153743,0.663253,0.704991,0.635464,0.0,0.0,0.0
54,"00:05:46,721 --> 00:05:49,181
","He's married to,
uh, Betsy.

",0.226585,0.241127,0.254917,0.169708,0.17494,0.006042,0.085095,0.616677,0.450572,0.073238,0.0,0.0,0.0
55,"00:05:49,349 --> 00:05:52,351
","The most competitive woman
in the world.

",0.447394,0.279928,0.125663,0.021189,0.215586,0.320661,0.125582,0.550874,0.506678,0.375511,0.0,0.952443,0.0
56,"00:05:52,518 --> 00:05:54,269
","I don't see how I'm gonna
remember all this.

",0.481617,0.117553,0.226021,0.102922,0.190473,0.001882,0.367322,0.665777,0.105062,0.021658,0.0,0.0,0.983213
57,"00:05:54,437 --> 00:05:57,022
","Oh, well, Walter, you will!

",0.235641,0.47187,0.272375,0.061052,0.042759,0.228564,0.502751,0.849043,0.569431,0.594389,0.0,0.0,0.0
58,"00:06:09,118 --> 00:06:11,495
","Your Uncle Milton
lost all of his money.

",0.610894,0.105354,0.144113,0.041592,0.178621,0.06759,0.155096,0.704622,0.541473,0.646443,0.0,0.0,0.986725
59,"00:06:11,662 --> 00:06:13,622
","And some other people's.

",0.320861,0.308806,0.046778,0.19922,0.218346,0.593222,0.276952,0.595133,0.567164,0.179035,0.0,0.984352,0.0
60,"00:06:13,790 --> 00:06:18,210
","in a pyramid scheme. Don't mention
the IRS or the federal prisons system.

",0.372414,0.015022,0.3517,0.075967,0.318994,0.791988,0.366901,0.453237,0.781845,0.962946,0.249697,0.959646,0.0
61,"00:06:18,378 --> 00:06:20,879
","Your mother's Barbara,
your father's Cliff

",0.381543,0.378071,0.110286,0.100816,0.076236,0.3993,0.138271,0.62956,0.566436,0.490396,0.0,0.0,0.0
62,"00:06:22,090 --> 00:06:25,967
","My father has electric trains.
Really?

",0.571506,0.153437,0.034933,0.133739,0.200884,0.109962,0.103057,0.497121,0.422049,0.155338,0.952933,0.0,0.0
63,"00:06:26,135 --> 00:06:29,054
","Am I what they had in mind?

",0.285893,0.437904,0.188076,0.042343,0.142619,0.424829,0.239949,0.60486,0.015599,0.020754,0.0,0.0,0.0
64,"00:06:29,222 --> 00:06:33,475
","Oh, Walter,
they're gonna love you!

",0.272143,0.529298,0.120439,0.071026,0.052746,0.150883,0.271264,0.803113,0.70006,0.13435,0.0,0.0,0.0
65,"00:06:34,477 --> 00:06:35,811
","[GLASS CLINKING]

",0.248607,0.499925,0.11837,0.140691,0.018327,0.367284,0.281496,0.600029,0.54431,0.30364,0.579367,0.0,0.0
66,"00:06:35,978 --> 00:06:39,231
","WOMAN: Everybody,
Annie has an announcement.

",0.435978,0.40693,0.083572,0.084939,0.062448,0.775482,0.11014,0.671052,0.637077,0.061421,0.0,0.0,0.0
67,"00:06:39,399 --> 00:06:44,694
","Oh... Walter and I are engaged.

",0.125671,0.659795,0.179454,0.077685,0.032577,0.521345,0.250418,0.700027,0.740143,0.020906,0.0,0.0,0.0
68,"00:06:44,862 --> 00:06:45,987
","[SCREAMING]

",0.0,0.0,0.0,0.0,0.0,0.287356,0.274434,0.599483,0.543325,0.288681,0.0,0.0,0.0
69,"00:06:49,617 --> 00:06:53,036
","Thank you. Thank you.

",0.028906,0.896575,0.044801,0.02186,0.036793,0.277498,0.130448,0.604831,0.447509,0.335367,0.0,0.0,0.0
70,"00:06:53,204 --> 00:06:55,455
","Mum knew.
Dad, Mum knew.

",0.445526,0.344715,0.107769,0.054961,0.129583,0.016383,0.128443,0.605046,0.439481,0.116393,0.996679,0.0,0.0
71,"00:06:55,623 --> 00:06:57,332
","I don't see a ring, Annie.

",0.303967,0.449256,0.1637,0.041362,0.138581,0.210245,0.134434,0.776688,0.583821,0.214395,0.0,0.0,0.0
72,"00:06:58,584 --> 00:07:00,377
","Congratulations, Walter.

",0.044514,0.855898,0.054263,0.025374,0.100656,0.261035,0.274501,0.599651,0.543969,0.310466,0.0,0.0,0.0
73,"00:07:00,545 --> 00:07:02,879
","[SNEEZING]

",0.0,0.0,0.0,0.0,0.0,0.288703,0.274434,0.599483,0.543325,0.290891,0.0,0.0,0.0
74,"00:07:03,047 --> 00:07:05,006
","Bless you. Bless you!

",0.030372,0.933471,0.008207,0.037873,0.009484,0.183742,0.130483,0.604577,0.447376,0.31228,0.0,0.0,0.0
75,"00:07:06,634 --> 00:07:10,137
","CLIFF: Are you all right?
It's nothing. It's nothing.

",0.179688,0.306206,0.323498,0.12232,0.142921,0.631397,0.486722,0.734099,0.458157,0.490461,0.0,0.0,0.983213
76,"00:07:10,304 --> 00:07:11,680
","Maybe it's the flowers.

",0.2125,0.690128,0.066186,0.021273,0.067961,0.797125,0.376546,0.619768,0.240626,0.548166,0.0,0.984352,0.0
77,"00:07:11,848 --> 00:07:12,889
","BARBARA:
We'll move them.

",0.489875,0.346265,0.125007,0.05929,0.038689,0.117916,0.150618,0.664703,0.489706,0.150198,0.0,0.0,0.0
78,"00:07:13,057 --> 00:07:17,519
","No, don't touch them! I feel
terrible, sneezing at a time like this.

",0.3206,0.150575,0.056373,0.346422,0.252445,0.009315,0.000961,0.159115,0.004491,4e-06,0.0,0.959646,0.0
79,"00:07:17,687 --> 00:07:19,396
","This is a very important
moment for me.

",0.226355,0.693342,0.053046,0.057543,0.025153,0.299814,0.160776,0.729744,0.573586,0.016302,0.0,0.0,0.986725
80,"00:07:19,564 --> 00:07:21,440
","He's allergic to everything,
don't worry about him.

",0.102986,0.66576,0.090995,0.078512,0.126058,0.064332,0.106483,0.588025,0.177832,0.003498,0.0,0.936899,0.0
81,"00:07:21,607 --> 00:07:24,359
","Bees.
I'm allergic to bees.

",0.262799,0.144,0.361572,0.233645,0.085838,0.130542,0.129937,0.603325,0.437517,0.128261,0.0,0.0,0.0
82,"00:07:24,527 --> 00:07:27,320
","Harold is allergic to
every type of bee.

",0.247257,0.147146,0.305843,0.220045,0.179531,0.741444,0.128735,0.594585,0.300847,0.136216,0.0,0.0,0.986725
83,"00:07:27,488 --> 00:07:31,032
","We always have to carry a hypodermic
of adrenalin wherever we go.

",0.654646,0.109742,0.146727,0.090526,0.074273,0.105364,0.456865,0.77095,0.230241,0.335885,0.0,0.0,0.991987
84,"00:07:31,200 --> 00:07:33,618
","If he eats even one tiny
piece of a nut...

",0.217655,0.11859,0.02975,0.199665,0.523157,0.827576,0.079109,0.438284,0.143291,0.224347,0.857009,0.978371,0.0
85,"00:07:33,786 --> 00:07:37,664
","My head swells up like a
watermelon and I drop dead.

",0.648518,0.029086,0.131362,0.156678,0.11777,0.486343,0.05743,0.103904,0.360848,0.036977,0.096699,0.884138,0.0
86,"00:07:37,832 --> 00:07:39,666
","IRENE:
It's the same with him and bees.

",0.185742,0.268283,0.26145,0.236222,0.12812,0.900218,0.393707,0.728385,0.515144,0.446958,0.0,0.0,0.0
87,"00:07:39,834 --> 00:07:42,043
","Your mother and I had
salmon at our wedding.

",0.417262,0.460154,0.029461,0.096806,0.028536,0.583154,0.340276,0.793198,0.884244,0.697859,0.0,0.0,0.0
88,"00:07:42,211 --> 00:07:44,880
","I really think a wedding
without cold salmon is...

",0.62473,0.16907,0.079083,0.090691,0.092363,0.707989,0.042622,0.369785,0.293166,0.011619,0.978091,0.0,0.0
89,"00:07:45,047 --> 00:07:48,133
","I'm not allergic to salmon.
Oh, he's not allergic...

",0.468304,0.157491,0.234677,0.170013,0.085614,0.28836,0.119568,0.582925,0.290477,0.016139,0.0,0.0,0.0
90,"00:07:48,301 --> 00:07:50,677
","I don't think.
But you never know.

",0.765062,0.104793,0.102863,0.090953,0.019888,0.048388,0.212593,0.548024,0.058511,0.073858,0.989679,0.0,0.962182
91,"00:07:50,845 --> 00:07:54,347
","You never know.
Harold wasn't always allergic to bees.

",0.398774,0.153564,0.275117,0.255911,0.023166,0.018466,0.217885,0.721498,0.302024,0.246789,0.883404,0.609026,0.0
92,"00:07:54,515 --> 00:07:55,724
","BARBARA: Oh, honey,
what a shame.

",0.462918,0.155509,0.045296,0.054411,0.346738,0.418693,0.144235,0.778768,0.611045,0.31043,0.0,0.0,0.971165
93,"00:07:55,892 --> 00:07:58,059
","We had some champagne.
What did we use it for?

",0.074919,0.441117,0.214635,0.254401,0.118242,0.393502,0.588349,0.718762,0.431927,0.954453,0.0,0.978371,0.0
94,"00:07:58,227 --> 00:07:59,686
","Uncle Milton's parole.

",0.295321,0.468737,0.200157,0.030775,0.064531,0.274248,0.278381,0.61383,0.571606,0.346179,0.0,0.0,0.0
95,"00:07:59,854 --> 00:08:02,439
","And it was delicious.
It was, wasn't it, Milton?

",0.219213,0.61783,0.067668,0.068675,0.111434,0.637064,0.211355,0.723377,0.362685,0.702993,0.0,0.0,0.0
96,"00:08:02,607 --> 00:08:07,319
","When are you getting married?
In early June, in the garden.

",0.357088,0.414829,0.1337,0.088476,0.06313,0.035205,0.1543,0.420636,0.678273,0.1602,0.0,0.0,0.0
97,"00:08:07,487 --> 00:08:09,779
","Oh...

",0.0,0.0,0.0,0.0,0.0,0.269017,0.274436,0.599486,0.543277,0.290195,0.0,0.0,0.0
98,"00:08:09,947 --> 00:08:12,866
","What about Harold and bees?
I'm allergic to bees.

",0.248598,0.080301,0.375364,0.274216,0.138857,0.278171,0.141733,0.666709,0.45976,0.013405,0.0,0.920133,0.0
99,"00:08:13,034 --> 00:08:14,743
","BARBARA:
We'll spray you.

",0.160996,0.159126,0.580539,0.039657,0.110771,0.508464,0.156407,0.654101,0.607567,0.300932,0.0,0.0,0.0
100,"00:08:15,203 --> 00:08:18,914
","Cold salmon, a lovely
cucumber salad, strawberries.

",0.245481,0.668911,0.019418,0.079923,0.027946,0.330778,0.129799,0.60266,0.441247,0.166293,0.0,0.0,0.0
101,"00:08:19,081 --> 00:08:24,252
","I'm afraid I am allergic
to strawberries.

",0.057919,0.028087,0.903735,0.020431,0.033847,0.16305,0.118282,0.60073,0.30475,0.0039,0.0,0.0,0.0
102,"00:08:25,421 --> 00:08:27,714
","Is this all right with you?

",0.125528,0.640407,0.126512,0.065251,0.137361,0.952835,0.960966,0.931452,0.993842,0.825445,0.0,0.0,0.942582
103,"00:08:27,882 --> 00:08:34,554
","Today, I'm consider myself the luckiest
man-man-man on the face of the earth-earth-earth.

",0.238238,0.237122,0.302015,0.054534,0.220971,0.106617,0.085891,0.473922,0.36274,0.16257,0.77494,0.959646,0.0
104,"00:08:34,722 --> 00:08:36,598
","The Lou Gehrig line
from...

",0.363341,0.154388,0.131212,0.149126,0.29768,0.518115,0.097019,0.572422,0.667476,0.361026,0.358048,0.0,0.707243
